#,Episode’s title,Release Date,Duration,Downloads
S01 E12,"A Chat with the Most Experienced Economic Gopher - Economics Chair Professor  Thomas Holmes",2026-02-11T15:09:18.000Z,38:42,9
S01 E11," An Interview with Aastik M. (Economics BS, Minors in Statistics and Mathematics)",2026-01-26T15:30:00.000Z,41:07,32
S01 E10,"An Interview with Tiffany and Annie (Senior Economics Academic Advisors)",2026-01-19T15:30:00.000Z,27:50,14
S01 E09,"An Interview with Riley S. (Economics BS and Math BS)",2026-01-13T15:35:25.000Z,31:59,26
S01 E08,"An Interview with Margaret X. (Economics BS, Computer Science BS, Data Science BS)",2026-01-05T19:58:27.000Z,35:15,44
S01 E07,"An Interview with Anushka R. (Economics BS and Finance BSB)",2026-01-02T15:09:13.000Z,48:31,9
S01 E06,"An Interview with Ben P. (Economics BS, Financial Mathematics MS)",2025-12-31T15:31:34.000Z,34:06,10
S01 E05,"An Interview with Eva B. (BS Economics, Minors in Math and Political Science)",2025-12-11T15:41:17.000Z,35:42,18
S01 E04,"An Interview with Michael Hanson (BS Economics and Minor in Management and Mathematics)",2025-11-18T19:29:55.000Z,18:21,34
S01 E03,"An interview with Professor Adway De (Professor of Environmental Economics and Energy Economist)",2025-11-11T16:53:25.000Z,28:32,51
S01 E02,"An interview with Hannie (BA-Q Economics and Minor in Urban Studies)",2025-11-11T16:37:22.000Z,21:06,96
S01,"Welcome to the Gopher-Nomics Podcast",2025-11-10T20:58:37.000Z,1:20,42
